"hour","district","rev5","rev1","rev2","rev3","rev4"
"7am","572",4497.18,2611.12,7501.33,7626.41,2797.67
"7am","573",4667.34,2339.38,6231.13,7692.54,3484.57
"7am","574",2989.29,992.21,3725.55,4844.7,3880.4
"7am","575",1352.93,849.38,1297.03,1116.44,950.83
"7am","576",1466.26,1454.92,2996.11,2834.61,939.66
"7am","601",2115.67,1985.73,4211.58,3327.14,808.06
"7am","602",7258.65,9509.74,11351.57,11451.19,4047.45
"7am","611",10861.7,5442.71,17752.45,18642.38,8366.27
"7am","612",4200.03,2425.72,7237.87,6271.3,2104.13
"7am","621",3131.71,1428.23,5134.46,7251.45,2763.32
"7am","622",7034.41,3924.34,11248.06,11323.41,5170.71
"7am","623",4532.26,2512.7,9729.86,7271.99,3508.5
"7am","624",2443.85,1595.71,4716.94,3368.27,1061.67
"7am","631",5398.72,4184.76,9600.03,9839.97,2945.79
"7am","632",1675.13,1134.62,3365.37,3209.85,2006.56
"7am","633",3686.89,2535.97,6782.45,6781.65,2560.72
"7am","641",3789.91,1784.38,5498.73,4967.81,3719.15
"7am","642",4047.43,3406.56,4764.85,6146.16,3209.09
"7am","643",6473.58,2567.81,8429.8,11463.22,6563.9
"7am","644",3773.26,1410.61,5211.05,7876.51,5430.47
"7am","645",2011.73,1277.22,3453.14,2578.99,818.12
"7am","651",4193.54,3683.01,9761.01,10334.53,3986.29
"7am","661",10392.07,10974.64,14881.98,15298.16,4358.04
"7am","662",901.57,832.21,2605.06,2866.62,905.15
"7am","663",4036.9,3167.94,6947.01,6892.35,2465.51
"7am","671",4117.87,5702.04,9432.88,5226.94,1533.57
"7am","672",1492.75,1667.46,2656.14,1830.57,649.24
"7am","673",1559.98,1759.09,2384.55,1900.84,503.93
"7am","681",4086.31,4286.5,6224.11,4532.31,2032.04
"7am","691",6431.2,4020.67,7019.24,7596.12,4160.3
"8am","101",20733.72,7717.17,21901.49,36998.61,32329.69
"8am","102",16786.72,16136.31,17310.52,26680.65,20942.19
"8am","103",7932.82,10919.96,13952.97,14415.01,7219.26
